Date,start_time_DI,last_event_DI
2012-08-31,1760,372
2013-01-04,2053,640
2013-07-12,334,746
2013-07-13,275,592
2013-03-07,2150,2377
2013-03-06,2859,2829
2013-03-05,2529,2418
2013-03-04,2958,2497
2013-03-03,5053,1932
2013-03-02,1439,1120
2013-03-01,1935,1441
2013-03-09,1544,1712
2013-03-08,1859,2099
2012-11-16,735,490
2012-11-17,807,467
2012-11-14,844,569
2012-11-15,729,480
2012-11-12,915,754
2012-11-13,897,663
2012-11-10,732,532
2012-11-11,712,500
2012-11-18,883,463
2012-11-19,955,642
2012-09-08,1527,0
2012-09-09,2010,0
2012-09-01,1314,284
2012-09-02,1484,320
2012-09-03,2022,375
2012-09-04,3432,729
2012-09-05,3334,1738
2012-09-06,3057,1686
2012-09-07,1935,0
2012-10-08,2468,1404
2012-10-09,2314,1558
2012-10-02,2916,2141
2012-10-03,3885,2302
2012-10-01,3028,2088
2012-10-06,1792,1075
2012-10-07,2050,1244
2012-10-04,2638,1522
2012-10-05,2287,1283
2013-08-31,609,1014
2013-08-30,856,1416
2012-07-28,1568,324
2012-07-29,2371,516
2012-07-23,5,0
2012-07-24,4635,704
2012-07-25,3356,744
2012-07-26,2199,487
2012-07-27,1591,352
2013-09-02,681,1172
2013-07-30,1307,1907
2013-07-31,922,1545
2013-03-19,1671,2888
2012-12-17,541,253
2012-12-16,452,244
2012-12-15,487,238
2012-12-14,526,257
2012-12-13,525,273
2012-12-12,604,355
2012-12-11,767,482
2012-12-10,1046,624
2012-12-19,1312,228
2013-03-31,1416,1921
2013-06-01,839,1363
2013-06-02,870,1306
2013-06-03,1001,1593
2013-06-04,874,1586
2013-06-05,741,1489
2013-06-06,1250,1798
2013-06-07,1038,1569
2013-06-08,770,1102
2013-06-09,846,1168
2013-02-08,2608,0
2013-02-09,1774,0
2013-02-04,3315,1693
2013-02-05,3003,1467
2013-02-06,2515,1041
2013-02-07,2634,0
2013-02-01,2502,1063
2013-02-02,2590,1468
2013-02-03,2792,1108
2013-04-30,1136,1357
2013-05-29,972,1291
2013-05-28,1023,1402
2013-05-27,971,1238
2013-05-26,822,1096
2013-05-25,882,1112
2013-05-24,954,1396
2013-05-23,1109,1417
2013-05-22,1567,1740
2013-05-21,1577,1940
2013-05-20,1042,1984
2013-08-08,766,1090
2013-08-09,531,950
2013-08-06,612,1035
2013-08-07,722,1094
2013-08-04,509,885
2013-08-05,678,1059
2013-08-02,558,1005
2013-08-03,505,826
2013-08-01,695,1162
2013-01-29,2422,826
2013-01-28,2782,838
2013-01-23,8368,2675
2013-01-22,4263,878
2013-01-21,2575,721
2013-01-20,2433,1331
2013-01-27,2414,662
2013-01-26,2046,625
2013-01-25,2399,805
2013-01-24,3493,1113
2012-08-29,2437,401
2012-08-28,2088,446
2012-08-21,3381,740
2012-08-20,4107,931
2012-08-23,2304,464
2012-08-22,2767,706
2012-08-25,1382,295
2012-08-24,1914,471
2012-08-27,2012,396
2012-08-26,1679,350
2013-01-12,1398,669
2013-07-20,378,705
2013-07-23,461,833
2013-01-11,1752,732
2013-07-25,1489,1410
2013-01-17,1883,763
2012-11-05,1147,997
2012-11-04,1337,971
2012-11-07,828,672
2012-11-06,939,744
2012-11-01,1083,855
2013-01-14,1962,861
2012-11-03,1074,718
2012-11-02,1142,923
2013-01-15,3011,1030
2012-11-09,766,565
2012-11-08,735,567
2012-09-19,1847,595
2012-12-29,1400,347
2012-12-26,1967,480
2012-12-27,1834,493
2012-09-15,1558,573
2012-09-14,1931,636
2012-12-22,2380,627
2012-09-12,3325,956
2012-09-11,2677,473
2012-09-10,2000,0
2013-05-16,1124,2084
2013-05-17,903,1663
2013-05-14,1335,1765
2013-05-15,1464,2243
