Country,registered,viewed,explored,certified,grade,nevents,ndays_act,nplay_video,nchapters,nforum_posts,registered_avg,viewed_avg,explored_avg,certified_avg,grade_avg,nevents_avg,ndays_act_avg,nplay_video_avg,nchapters_avg,nforum_posts_avg
Germany,420.0,287.0,70.0,42.0,52.28,486696.0,3756.0,83299.0,1538.0,0.0,1.0,0.683333333333,0.166666666667,0.1,0.153313782991,1195.81326781,9.20588235294,314.335849057,5.32179930796,0.0
Philippines,400.0,210.0,26.0,10.0,16.06,160594.0,1791.0,18504.0,740.0,0.0,1.0,0.525,0.065,0.025,0.0453672316384,417.127272727,4.61597938144,96.8795811518,3.57487922705,0.0
Spain,1020.0,728.0,237.0,147.0,180.09,1556938.0,11381.0,253275.0,4537.0,15.0,1.0,0.713725490196,0.232352941176,0.144117647059,0.19364516129,1567.91339376,11.381,373.561946903,6.29264909847,0.0147058823529
Ukraine,87.0,47.0,8.0,0.0,3.72,54388.0,557.0,7811.0,200.0,0.0,1.0,0.540229885057,0.0919540229885,0.0,0.0509589041096,655.277108434,6.63095238095,177.522727273,4.34782608696,0.0
Poland,77.0,56.0,14.0,9.0,10.98,129692.0,958.0,26005.0,329.0,0.0,1.0,0.727272727273,0.181818181818,0.116883116883,0.1715625,1752.59459459,12.7733333333,481.574074074,5.875,0.0
Indonesia,394.0,227.0,37.0,11.0,17.45,176546.0,1959.0,29498.0,962.0,0.0,1.0,0.57614213198,0.0939086294416,0.0279187817259,0.0491549295775,459.755208333,5.1015625,154.439790576,4.33333333333,0.0
United States,11360.0,6471.0,852.0,347.0,487.69,5747394.0,60469.0,993548.0,24545.0,253.0,1.0,0.56963028169,0.075,0.0305457746479,0.0523609619927,545.241817664,5.6890582369,171.006540448,3.82380433089,0.0222711267606
Morocco,16.0,7.0,1.0,0.0,0.62,2996.0,39.0,231.0,24.0,0.0,1.0,0.4375,0.0625,0.0,0.0516666666667,214.0,2.78571428571,38.5,3.42857142857,0.0
Unknown/Other,1987.0,161.0,33.0,9.0,16.7,119666.0,1490.0,19491.0,758.0,0.0,1.0,0.081026673377,0.016607951686,0.0045294413689,0.0103533787973,529.495575221,6.56387665198,189.233009709,4.79746835443,0.0
Other Africa,3968.0,2684.0,597.0,222.0,327.29,3035659.0,29951.0,680364.0,13245.0,198.0,1.0,0.676411290323,0.150453629032,0.0559475806452,0.0924809268155,789.302912116,7.77140633108,304.413422819,4.95510662177,0.0498991935484
Brazil,1158.0,661.0,61.0,22.0,34.59,454356.0,5005.0,78814.0,2058.0,0.0,1.0,0.570811744387,0.052677029361,0.0189982728843,0.0344179104478,413.050909091,4.52122854562,135.65232358,3.17592592593,0.0
Pakistan,658.0,351.0,46.0,14.0,25.88,176514.0,2636.0,7276.0,1235.0,0.0,1.0,0.533434650456,0.0699088145897,0.0212765957447,0.0434957983193,278.413249211,4.12519561815,108.597014925,3.63235294118,0.0
Portugal,253.0,155.0,33.0,27.0,29.58,275808.0,2159.0,59695.0,765.0,0.0,1.0,0.612648221344,0.130434782609,0.106719367589,0.136944444444,1125.74693878,8.81224489796,429.460431655,5.1,0.0
Mexico,297.0,209.0,21.0,7.0,13.65,138897.0,1605.0,20060.0,717.0,0.0,1.0,0.703703703704,0.0707070707071,0.023569023569,0.058085106383,477.309278351,5.45918367347,108.432432432,3.48058252427,0.0
Egypt,1316.0,751.0,97.0,41.0,57.72,673884.0,7029.0,151841.0,2937.0,5.0,1.0,0.570668693009,0.0737082066869,0.0311550151976,0.0478210439105,529.366849961,5.49569976544,232.884969325,3.94228187919,0.00379939209726
India,6606.0,4084.0,968.0,433.0,608.77,4332815.0,43786.0,650455.0,20208.0,363.0,1.0,0.618225855283,0.146533454435,0.0655464729034,0.100639775169,690.048574614,6.94795303078,191.029368576,4.99950519545,0.0549500454133
Other Middle East/Central Asia,1251.0,697.0,88.0,33.0,53.6,510134.0,5689.0,98395.0,2605.0,0.0,1.0,0.557154276579,0.07034372502,0.0263788968825,0.0501872659176,422.296357616,4.66694011485,176.96942446,3.77536231884,0.0
United Kingdom,1760.0,1102.0,187.0,84.0,111.33,1141977.0,10772.0,193581.0,4660.0,6.0,1.0,0.626136363636,0.10625,0.0477272727273,0.0753247631935,676.126110124,6.33647058824,201.227650728,4.28308823529,0.00340909090909
Colombia,482.0,322.0,58.0,28.0,40.34,351309.0,2967.0,58677.0,1383.0,0.0,1.0,0.668049792531,0.120331950207,0.0580912863071,0.0998514851485,739.597894737,6.24631578947,208.074468085,4.36277602524,0.0
Greece,133.0,88.0,15.0,8.0,10.96,127068.0,958.0,22479.0,387.0,0.0,1.0,0.661654135338,0.112781954887,0.0601503759398,0.101481481481,977.446153846,7.36923076923,280.9875,4.44827586207,0.0
Japan,88.0,65.0,11.0,4.0,5.19,70193.0,731.0,13188.0,290.0,0.0,1.0,0.738636363636,0.125,0.0454545454545,0.0910526315789,806.816091954,8.40229885057,219.8,4.39393939394,0.0
