14,3,182,1,6.4,7300.16,0.89,39.68,9036,57832,8033,358547
14,4,67,1,6.56,8799.28,0.85,47.49,9033,59252,7648,428938
15,1,102,2,2.08,1094.53,0.97,6.49,7952,16511,7714,51597
15,2,221,2,2.19,1148.77,0.97,7.04,7945,17418,7667,55953
15,3,544,2,2.96,1222.46,0.94,7.55,7938,23519,7490,59894
15,4,216,2,2.54,1366.33,0.95,7.92,7937,20131,7535,62896
16,1,315,3,3.52,3631.09,0.95,21.05,8791,30907,8395,185053
16,2,178,3,2.91,4040.16,0.95,23.09,8789,25559,8354,202938
16,3,287,3,2.81,3948.88,0.95,22.71,8789,24695,8339,199604
16,4,163,3,5.52,5510.88,0.93,30.93,8789,48536,8165,271884
16,5,291,3,3.96,5291.63,0.94,29.99,8788,34833,8279,263519
16,6,190,3,3.89,5836.48,0.93,32.77,8788,34146,8178,287996
16,7,280,3,4.54,5756.63,0.94,32.01,8791,39916,8255,281387
17,1,350,1,2.89,2305.9,0.97,13.11,8453,24464,8181,110802
17,2,265,1,7.27,5107.38,0.91,27.53,8451,61430,7679,232695
17,3,344,1,3.31,4353.23,0.95,23.27,8451,27933,8004,196619
17,4,389,1,3.24,4854.97,0.94,25.3,8449,27365,7948,213799
17,5,335,1,6.72,7909.63,0.85,41.71,8445,56756,7139,352263
17,6,578,1,4.51,7125.88,0.88,37.16,8449,38071,7417,313934
18,1,453,2,5.92,2941.59,0.87,17.93,6843,40528,5984,122664
18,2,562,2,3.82,2875.55,0.87,17.9,6829,26103,5934,122236
19,1,237,2,1.95,674.16,0.97,4.68,7252,14162,7046,33924
19,2,392,2,2.45,1274.18,0.94,8.12,7227,17717,6778,58710
19,3,272,2,2.27,1319.28,0.95,8.17,7233,16447,6880,59101
20,1,469,2,3.37,1224.41,0.94,8.04,4573,15433,4295,36769
20,2,362,2,2.78,1358.84,0.94,9.11,4563,12687,4285,41591
21,1,123,2,1.92,729.98,0.95,4.45,5757,11055,5493,25610
21,2,642,2,2.24,808.61,0.94,4.89,5753,12910,5426,28144
22,1,156,1,4.7,3463.39,0.95,18.79,8458,39781,8008,158955
22,2,283,1,4.48,3797.03,0.95,20.52,8457,37900,8017,173556
22,3,126,1,7.23,7059.14,0.87,35.28,8451,61081,7333,298140
22,4,241,1,4.04,4036.72,0.96,21.08,8451,34156,8096,178167
23,1,388,2,1.85,838.44,0.97,4.41,4705,8705,4559,20769
23,2,519,2,2.0,935.92,0.93,4.8,4667,9327,4344,22383
24,1,351,3,5.9,4694.53,0.92,24.51,8253,48697,7626,202300
24,2,468,3,4.72,4727.48,0.93,25.18,8253,38956,7649,207791
24,3,390,3,2.84,3254.43,0.97,17.6,8251,23407,7979,145221
24,4,505,3,3.38,4418.86,0.95,23.54,8250,27844,7820,194206
24,5,359,3,2.85,3919.67,0.96,20.47,8250,23540,7939,168862
24,6,475,3,3.97,4816.64,0.94,25.13,8249,32770,7759,207272
25,1,439,1,1.82,663.04,0.99,3.83,9304,16917,9235,35621
25,2,563,1,2.21,785.97,0.99,4.71,9301,20519,9212,43821
25,3,455,1,2.65,1041.6,0.99,6.6,9303,24672,9179,61361
25,4,169,1,2.47,1203.55,0.99,7.13,9303,22947,9185,66319
26,1,512,2,2.72,1420.53,0.95,8.09,4041,10989,3824,32708
